,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
8215,d7707818,The Bombay Canteen,4.5,Indian
8216,d1202559,It's Mirchi,4.5,Indian
8217,d4064145,The Arthouse,4.5,Indian International
8218,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8219,d5901185,Fountain Sizzlers,4.5,Indian
8220,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8221,d21387580,Fiona,5.0,Italian Indian Bar Asian
8222,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8223,d2034920,Namak,5.0,Indian
8224,d8010527,Saptami,5.0,Indian
8225,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8226,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8227,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8228,d15223662,Ummrao,5.0,Indian
8229,d804433,Kebabs & Kurries,5.0,Indian
8230,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8231,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8232,d19428928,Tanatan Shivaji Park,5.0,Indian
8233,d1014520,Peshawri,4.5,Indian Healthy
8234,d3268182,Nawab Saheb,5.0,Indian
8235,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8236,d16845556,Yeda Republic,5.0,Asian
8237,d6158439,The Brasserie,4.5,Indian International Asian
8238,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8239,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8240,d1138825,Lotus Cafe,4.5,Indian Cafe International
8241,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8242,d1370074,Dakshin Coastal,4.5,Indian
8243,d947165,Flamboyante,4.5,Indian
8244,d5899260,Bombay High,5.0,Bar
8245,d7707818,The Bombay Canteen,4.5,Indian
8246,d1202559,It's Mirchi,4.5,Indian
8247,d4064145,The Arthouse,4.5,Indian International
8248,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8249,d5901185,Fountain Sizzlers,4.5,Indian
8250,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8251,d21387580,Fiona,5.0,Italian Indian Bar Asian
8252,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8253,d2034920,Namak,5.0,Indian
8254,d8010527,Saptami,5.0,Indian
8255,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8256,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8257,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8258,d15223662,Ummrao,5.0,Indian
8259,d804433,Kebabs & Kurries,5.0,Indian
8260,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8261,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8262,d19428928,Tanatan Shivaji Park,5.0,Indian
8263,d1014520,Peshawri,4.5,Indian Healthy
8264,d3268182,Nawab Saheb,5.0,Indian
8265,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8266,d16845556,Yeda Republic,5.0,Asian
8267,d6158439,The Brasserie,4.5,Indian International Asian
8268,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8269,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8270,d1138825,Lotus Cafe,4.5,Indian Cafe International
8271,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8272,d1370074,Dakshin Coastal,4.5,Indian
8273,d947165,Flamboyante,4.5,Indian
8274,d5899260,Bombay High,5.0,Bar
8275,d7707818,The Bombay Canteen,4.5,Indian
8276,d1202559,It's Mirchi,4.5,Indian
8277,d4064145,The Arthouse,4.5,Indian International
8278,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8279,d5901185,Fountain Sizzlers,4.5,Indian
8280,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8281,d21387580,Fiona,5.0,Italian Indian Bar Asian
8282,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8283,d2034920,Namak,5.0,Indian
8284,d8010527,Saptami,5.0,Indian
8285,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8286,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8287,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8288,d15223662,Ummrao,5.0,Indian
8289,d804433,Kebabs & Kurries,5.0,Indian
8290,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8291,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8292,d19428928,Tanatan Shivaji Park,5.0,Indian
8293,d1014520,Peshawri,4.5,Indian Healthy
8294,d3268182,Nawab Saheb,5.0,Indian
8295,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8296,d16845556,Yeda Republic,5.0,Asian
8297,d6158439,The Brasserie,4.5,Indian International Asian
8298,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8299,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8300,d1138825,Lotus Cafe,4.5,Indian Cafe International
8301,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8302,d1370074,Dakshin Coastal,4.5,Indian
8303,d947165,Flamboyante,4.5,Indian
8304,d5899260,Bombay High,5.0,Bar
8305,d7707818,The Bombay Canteen,4.5,Indian
8306,d1202559,It's Mirchi,4.5,Indian
8307,d4064145,The Arthouse,4.5,Indian International
8308,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8309,d5901185,Fountain Sizzlers,4.5,Indian
8310,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8311,d21387580,Fiona,5.0,Italian Indian Bar Asian
8312,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8313,d2034920,Namak,5.0,Indian
8314,d8010527,Saptami,5.0,Indian
8315,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8316,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8317,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8318,d15223662,Ummrao,5.0,Indian
8319,d804433,Kebabs & Kurries,5.0,Indian
8320,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8321,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8322,d19428928,Tanatan Shivaji Park,5.0,Indian
8323,d1014520,Peshawri,4.5,Indian Healthy
8324,d3268182,Nawab Saheb,5.0,Indian
8325,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8326,d16845556,Yeda Republic,5.0,Asian
8327,d6158439,The Brasserie,4.5,Indian International Asian
8328,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8329,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8330,d1138825,Lotus Cafe,4.5,Indian Cafe International
8331,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8332,d1370074,Dakshin Coastal,4.5,Indian
8333,d947165,Flamboyante,4.5,Indian
8334,d5899260,Bombay High,5.0,Bar
8335,d7707818,The Bombay Canteen,4.5,Indian
8336,d1202559,It's Mirchi,4.5,Indian
8337,d4064145,The Arthouse,4.5,Indian International
8338,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8339,d5901185,Fountain Sizzlers,4.5,Indian
